Organization Name,Organization Name URL,Headquarters Location,Description,CB Rank (Company),Contact Email,Phone Number,Full Description,LinkedIn,Facebook,Twitter,Website,Company Type,Founders,Number of Employees,Headquarters Regions,Industries,Diversity Spotlight (US Only),Number of Articles,Hub Tags,SEMrush - Monthly Visits,SEMrush - Global Traffic Rank,Industry Groups,Estimated Revenue Range,SEMrush - Monthly Visits Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Number of Founders,Founded Date,Founded Date Precision,Operating Status,Investor Type,Investment Stage,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Funding Status,Number of Funding Rounds,Last Funding Date,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,SEMrush - Monthly Rank Growth,SEMrush - Page Views / Visit,Apptopia - Downloads Last 30 Days,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Seef Properties,https://www.crunchbase.com/organization/seef-properties,"Manama, Al Manamah, Bahrain","Seef Properties is specialized in developing and managing commercial, leisure and recreational facilities.","728,432",info@seef.com.bh,+973 7791 1111,"Seef Properties, a leading real estate development company in the Kingdom of Bahrain, was established in 1999 by the Government of Bahrain as a publicly listed company with an aim to manage Seef Mall and other government properties. Today, Seef Properties manages a vast portfolio of assets across the Kingdom; further cementing Seef Properties as a strong brand backed by a diverse business portfolio.",https://www.linkedin.com/company/seefproperties/,,https://twitter.com/Seef_Properties,http://www.seef.com.bh,,,251-500,Gulf Cooperation Council (GCC),"Hospitality, Leasing, Leisure, Property Management, Shopping Mall",,,,479,"5,644,690","Commerce and Shopping, Community and Lifestyle, Financial Services, Real Estate, Travel and Tourism",,,,,,1999-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,
Corteq,https://www.crunchbase.com/organization/corteq,"Sitrah, Sitrah, Bahrain","Corteq is into software publishing, app development, running ecommerce platforms, and investing in startups.","728,777",info@corteq.co,973-1666-9991,,,,,https://corteq.co/Home/,For Profit,,,Gulf Cooperation Council (GCC),"E-Commerce, Software",,,,,,"Commerce and Shopping, Software",,,,,,,,Active,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent Business Applications,https://www.crunchbase.com/organization/intelligent-business-applications,"Manama, Al Manamah, Bahrain",Information Technology Systems Integration Experts.,"737,526",info@iba-apps.com,+971555011331,We have three Business Units: 1. Unified Communications Applications 2. Business Software Solutions 3. Internal Innovation & Production,https://www.linkedin.com/company/iba-intelligent-business-applications-/,,,http://www.iba-apps.com,For Profit,Alaa Masoud,1-10,Gulf Cooperation Council (GCC),"Information Technology, Software",,,,,,"Information Technology, Software",$1M to $10M,,4,,1,2013-12-10,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offerpedia,https://www.crunchbase.com/organization/offerpedia,"Manama, Al Manamah, Bahrain",Offerpedia is a double sided referral program with an integrated wallet.,"748,875",hello@offerpedia.org,00973 39217883,"Offerpedia is all about Referrals. You refer your friends to any business/services listed on the platform, you and your friend earns cashback. In other words, Offerpedia provides dedicated sales force who would increase sales for business. It ensures new customers at a very minimal acquisition cost. Hence, Offerpedia is a double sided referral program with cashback and an integrated wallet.",,,,https://offerpedia.org/,For Profit,"Jassim Veeran, Suneeta Habeeb",1-10,Gulf Cooperation Council (GCC),"Advertising, Classifieds, Information Technology",,,,,,"Advertising, Commerce and Shopping, Information Technology, Sales and Marketing",,,13,,2,2018-12-06,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechoSmart,https://www.crunchbase.com/organization/techosmart,"Manama, Al Manamah, Bahrain",TechoSmart is a professional ICT Services and Solutions provider which focuses on ICT solutions.,"757,037",info@techosmart.com,+973 1771 7200,"TechoSmart is a professional ICT Services and Solutions provider which focuses on bringing leading-edge, strategized ICT solutions with operations spread across various sectors.  TechoSmart generally commences with high-level consulting to implementation and operations. Its Team provide the best business practices to help its customers achieve their business objectives.  The company builds successful solutions for business based on efficient and innovative technologies with a clear understanding of your needs.",https://www.linkedin.com/company/techosmart/,https://www.facebook.com/pg/TechoSmartME/,https://twitter.com/TechoSmartme,http://www.techosmart.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Cloud Data Services, Information and Communications Technology (ICT), Information Services, Information Technology",,,,,,"Information Technology, Internet Services",,,32,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCM Agency (Webcentric),https://www.crunchbase.com/organization/wcm-agency-webcentric,"Manama, Al Manamah, Bahrain",Marketing Company / Branding Agency,"761,345",info@wcmagency.com,+973 17001757,WCM is a creative marketing & branding agency that uses marketing insights to help medium sized organizations succeed in an increasingly competitive world.,,,,https://www.wcmagency.com,For Profit,,,Gulf Cooperation Council (GCC),"Advertising, Creative Agency, Graphic Design, Marketing, Social Media Marketing, Web Design",,,,,,"Advertising, Content and Publishing, Design, Media and Entertainment, Sales and Marketing",,,,,,2012-07-03,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMMI,https://www.crunchbase.com/organization/bmmi,"Sitra, Sitrah, Bahrain","BMMI is a diversified retail and distribution, in food and beverages, hospitality, contract services, facility management and supply group.","763,199",getintouch@bmmi.com.bh,+973 17 739 444,"BMMI is a diversified retail and distribution, in food and beverages, hospitality, contract services, facility management and supply group. It is also a fully-fledged international provider of end-to-end supply chain solutions, integrated facility management, logistics and procurement services to governments, and non-governmental, commercial and military organizations.",https://www.linkedin.com/company/bmmi/about/,,,http://www.bmmigroup.com,For Profit,,1001-5000,Gulf Cooperation Council (GCC),"Food and Beverage, Hospitality, Logistics, Retail, Wholesale",,,,,,"Commerce and Shopping, Food and Beverage, Transportation, Travel and Tourism",,,28,,,1883-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regnum Studio,https://www.crunchbase.com/organization/regnum-studio,"Manama, Al Manamah, Bahrain",Game development studio revolutionizing gaming experiences for both consumers and businesses. Actively making games since 2013,"766,433",mahmood@regnum-studio.com,+97336545295,"Game development studio focusing on revolutionizing gaming experiences for both consumers and business. Currently working on a VR horror game that connects to player’s heart rate monitors and tracks their heart rate in real time. The game adapts itself to the player’s heart rate, the more scared the player gets, the scarier the game becomes. This project has allowed us to win several awards internationally and locally including a Microsoft competition where we were one of the top 9 finalists worldwide.",https://linkedin.com/company/regnum-studio/,https://www.facebook.com/RegnumStudio/,https://twitter.com/RegnumStudio,https://www.regnum-studio.com,For Profit,"Mahmood AlSarhani, Noof Abdulla",1-10,Gulf Cooperation Council (GCC),"Gamification, Gaming, Serious Games, Video Games",,1,,,,Gaming,Less than $1M,,1,,2,2018-04-04,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wowcall,https://www.crunchbase.com/organization/wowcall,"Manama, Al Manamah, Bahrain",Value Added Telecom company,"767,827",info@wowcall.com,+973 80808080,"Wowcall is one of the first licensed VoIP services providers in the Middle East with over 300K customers. Wowcall also provides value-added telecom services such as portable toll-free numbers, central office numbers, cross-country call-forward, and other features to individuals and small businesses.",https://www.linkedin.com/company/wowcall,https://www.facebook.com/mywowcall/,https://twitter.com/mywowcall,https://www.wowcall.com,For Profit,Hamad Al Fahad,11-50,Gulf Cooperation Council (GCC),"Information Technology, Internet, Telecommunications",,,,992,"4,499,726","Hardware, Information Technology, Internet Services",,,19,,1,2009-01-01,day,Active,,,,,,Seed,1,2010-01-01,600000,BHD,1593625,600000,BHD,1593625,Seed,600000,BHD,1593625,Seed,600000,BHD,1593625,"Abdulaal Group, Ascentech",1,2,,,,,,,,,,,,,,,,,,7.5,,,,,,,
Sprouting Journey,https://www.crunchbase.com/organization/sprouting-journey,"`ali, Al Mintaqah ash Shamaliyah, Bahrain",Sprouting Journey sells food for children 6 months & above.,"772,381",,,,,,,https://sproutingjourney.com/,For Profit,Razan Al Shehabi,,Gulf Cooperation Council (GCC),Food and Beverage,,,,,,Food and Beverage,,,37,,1,,,Active,,,,,,Seed,1,2019-10-01,,,,,,,Seed,,,,Seed,,,,Savour Ventures,,1,,,,,,,,,,,,,,,,,,,,,,,,,
GULFSIP,https://www.crunchbase.com/organization/gulfsip,"Manama, Al Manamah, Bahrain",VOIP Company ( hardware /Software),"772,590",mohamed@gulfsip.com,,"GULFSIP Telecom company is the widest Arabian VOIP company, founded in 2008 in kingdom of Bahrain and we are spreading around the middle east now and the entire world in the future. -we develop SIP-based communication solutions, hardware & software suitable for the retail market.Thru GULFSIP friendly applications and tailored GULFSIP enabled devices, GULFSIP offers a range of products that Maximizes the Ease of Use. Use the Self-Configuration properties that are available in all GULFSIP products. -GULFSIP Development team has a strong background in the retail market needs so our products have been conceived to be as user friendly as possible in order to be marketed without the need of costly technical support infrastructures. - GulfSIP have a unique experienced call center and it is always fully prepared to answer all your queries. -GulfSIP have a unique experienced call center and it is always fully prepared to answer all your queries.",https://www.linkedin.com/company/gulfsip,http://www.facebook.com/GulfsipInternational,http://twitter.com/GULFSIP,http://www.gulfsip.com,For Profit,,51-100,Gulf Cooperation Council (GCC),"Information Technology, Software",,,,134,"6,498,019","Information Technology, Software",$1M to $10M,,37,3,,2008-01-02,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"1,295",,,,,,
SAYG,https://www.crunchbase.com/organization/sayg,"Manama, Al Manamah, Bahrain",SAYG is the food server application.,"776,658",admin@sayg.co.in,973 35525530,"SAYG is uses for find, share, order, your meals on food server.",,,,http://sayg.co,For Profit,,,Gulf Cooperation Council (GCC),"Apps, Food Processing, Information Technology",,,,,,"Apps, Food and Beverage, Information Technology, Software",,,19,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
YUP,https://www.crunchbase.com/organization/yup,"Manama, Al Manamah, Bahrain","Chatting, Tracking, Retracing and Timing app","781,829",YUP@imYUP.com,,,,http://www.facebook.com/imYUP,http://www.twitter.com/yup212,http://www.imyup.com,For Profit,Mohannad Al-Marar,1-10,Gulf Cooperation Council (GCC),"Apps, Internet, Mobile Apps",,2,,,,"Apps, Internet Services, Mobile, Software",,,6,1,1,2014-11-20,day,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esterad,https://www.crunchbase.com/organization/esterad,"Manama, Al Manamah, Bahrain",Esterad is an investment management company with assets regionally and internationally.,"785,573",mail@esterad.net,+973 17585400,,https://www.linkedin.com/company/esterad-investment-company/,,,http://www.esterad.net,For Profit,,1-10,Gulf Cooperation Council (GCC),"Asset Management, Venture Capital",,,,,,"Financial Services, Lending and Investments",,,,,,1973-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlugSky,https://www.crunchbase.com/organization/plugsky,"Al Manamah, Al Manamah, Bahrain","PlugSky,Hardware Factory, building the highest quality smart systems with Ultra technology for Consumers & Business.","805,918",info@plugsky.com,,"PlugSky, Hardware Factory, building the highest quality smart systems with Ultra technology for Consumers & Business.",,,,http://plugsky.com/,For Profit,Mustafa Marhama,11-50,Gulf Cooperation Council (GCC),"Ad Server, Cloud Storage, Hardware",,,,,,"Advertising, Hardware, Internet Services",,,23,,1,2014-04-03,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crayo Tech Business Solutions,https://www.crunchbase.com/organization/crayo-tech-business-solutions,"Manama, Al Manamah, Bahrain",Best Web Development Company in Bahrain,"807,468",crayotech5@gmail.com,97338126828,"CrayoTech is a leading Web Development company in Bahrain offering services like web development, web designing,Software development, Ecommerce website development, SEO company, social media marketing, Mobile Application Development etc. Our dedicated team ensures everything that we promise at various stages of our work through several unique quality management techniques. We all set to perform seamlessly to the best of our capabilities. We position ourselves as an all-inclusive technology service provider for our clients, helping them in everything ranging from software development and e-commerce development to social media service management and all varieties of web solutions. We also provides Software products like Cloud ERP, document Management system etc For more info - http://www.crayotech.com",https://www.linkedin.com/company/crayotechbusinesssolutions/,https://www.facebook.com/crayotechBusinessSolutions/,https://twitter.com/crayo_tech,http://www.crayotech.com,For Profit,,11-50,Gulf Cooperation Council (GCC),"Digital Marketing, E-Commerce, Email Marketing, Information Technology, Mobile Apps, SEO, Social Media Marketing, Software, Web Design, Web Development",,,,365,"5,916,718","Apps, Commerce and Shopping, Design, Information Technology, Internet Services, Mobile, Sales and Marketing, Software",,"1,203.57%",24,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.38%,1,,,,,,,
Maison du Maillot,https://www.crunchbase.com/organization/maison-du-maillot,"Manama, Al Manamah, Bahrain",Maison du Maillot is an online beachwear boutique firm.,"809,079",info@maisonmaillot.com,+973 3220 8586,"Maison du Maillot means 'House of Swimsuits' in French. The word 'maillot' also translates as swimsuits in Arabic.  Founded in early 2014, Maison du Maillot is a contemporary beachwear e-boutique, offering a wide selection of the most stylish swimsuits, beachwear and accessories.  Everything we offer is chosen with passion and enthusiasm to bring the best of fashion to our customers. We take great pride in sourcing the latest in international beachwear brands travelling the world to ensure you have access to the highest quality and latest in design.  From free flowing kaftans to chic bright bikinis our easy-to-navigate website gives you the widest range of pool and beachside looks at your fingertips. Based on the island of Bahrain, we cater to all far and wide. Due to our convenient location, bridging Europe and Asia, we are able to ensure that our customers receive their purchases as smoothly and quickly as possible, and it allows us to provide a tailored customer service experience in both Arabic and English. As part of our commitment to social responsibility we pledge to donate 1% of all Maison du Maillot sales. We want to bring our values into the company we have founded and will make this a cornerstone of Maison du Maillot going forward. For more details visit our Social Responsibility page, from the menu below.  Maison du Maillot aims to be the number one website for contemporary beachwear. Our location enables us to ship speedily all over the world, and our approach is one of “from Bahrain with Love”.  We hope you enjoy the shopping experience and we look forward to providing you with the best of contemporary beachwear fashion.",http://www.linkedin.com/company/maison-du-maillot,http://www.facebook.com/MaisonMaillot,http://twitter.com/MaisonMaillot,http://www.maisonmaillot.com,For Profit,,1-10,Gulf Cooperation Council (GCC),"E-Commerce, Retail, Swimming",,,,"1,028","3,841,116","Commerce and Shopping, Sports",$1M to $10M,-12.21%,45,,,2014-03-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59%,1,,,,,,,
Smart Touch Advertising and Promotions,https://www.crunchbase.com/organization/smart-touch-advertising-and-promotions,"Umm Al Hassam, Al Manamah, Bahrain",A  full fledged online marketing and advertising company in Saudi Arabia,"814,887",info@smarttouch.me,,"Since day one Smart Touch pledged to cater top quality of digital marketing services to fill a large gap in this arena. The company enjoys a long proven track since it dealt with a cornucopia of high end businesses and organizations in Saudi Arabia, Bahrain, Kuwait and Qatar. ",,,,http://www.smarttouch.me/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Advertising, Digital Marketing",,,,303,"5,912,578","Advertising, Sales and Marketing",Less than $1M,-81.65%,30,,,2005-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.36%,1,,,,,,,
